htid,access,rights,ht_bib_key,description,source,source_bib_num,oclc_num,isbn,issn,lccn,title,imprint,rights_reason_code,rights_timestamp,us_gov_doc_flag,rights_date_used,pub_place,lang,bib_fmt,collection_code,content_provider_code,responsible_entity_code,digitization_agent_code,access_profile_code,author,catalog_url,handle_url,publisher,501c3,in_twin_cities,donor_list
mdp.39015019569667,0,ic,2372051,,MIU,990023720510106381,16832671,"0918273331,9780918273338",,87027761,"Common body, royal bones : three stories / by Evelyn Shefner.","Coffee House Press, 1987.",bib,2012-06-21 19:30:14,0,1987,mnu,eng,BK,MIU,umich,umich,google,google,"Shefner, Evelyn, 1919-",https://catalog.hathitrust.org/Record/2372051,https://hdl.handle.net/2027/mdp.39015019569667,Coffee House Press,True,True,"['national endowment for the arts', None, 'national endowment for the arts']"
mdp.39015019622482,0,ic,2425850,,MIU,990024258500106381,16086642,"0918273315,9780918273314",,87018190,The first thing coming : short stories / by Keith Abbott.,"Coffee House Press ; Distributor, Consortium Book Sales & Distribution, 1987.",bib,2012-08-18 19:30:30,0,1987,mnu,eng,BK,MIU,umich,umich,google,google,"Abbott, Keith, 1944-",https://catalog.hathitrust.org/Record/2425850,https://hdl.handle.net/2027/mdp.39015019622482,Coffee House Press,True,True,"['national endowment for the arts', 'united arts', None, 'target', 'target']"
mdp.39015019622532,0,ic,2425826,,MIU,990024258260106381,12285381,"0918273129,9780918273123",,85017050,Irish musicians/American friends / Terence Winch.,"Coffee House Press, c1985.",bib,2007-11-21 09:30:02,0,1985,mnu,eng,BK,MIU,umich,umich,google,google,"Winch, Terence.",https://catalog.hathitrust.org/Record/2425826,https://hdl.handle.net/2027/mdp.39015019622532,Coffee House Press,True,True,[]
mdp.39015019622581,0,ic,2425831,,MIU,990024258310106381,13214497,"0918273188,9780918273185",,86004143,Pick up the house : new & selected poems / Anselm Hollo.,"Coffee House Press ; Distributed by Consortium, 1986.",bib,2008-11-01 22:30:17,0,1986,mnu,eng,BK,MIU,umich,umich,google,google,"Hollo, Anselm.",https://catalog.hathitrust.org/Record/2425831,https://hdl.handle.net/2027/mdp.39015019622581,Coffee House Press,True,True,['national endowment for the arts']
mdp.39015019656456,0,ic,2437612,,MIU,990024376120106381,22119903,"0918273803,9780918273802",,90002457,Great balls of fire : poems / by Ron Padgett.,"Coffee House Press ; Distributed to trade by Consortium Book Sales and Distribution, 1990.",bib,2007-12-05 09:30:12,0,1990,mnu,eng,BK,MIU,umich,umich,google,google,"Padgett, Ron, 1942-",https://catalog.hathitrust.org/Record/2437612,https://hdl.handle.net/2027/mdp.39015019656456,Coffee House Press,True,True,"['target', 'star tribune foundation', 'northwest area foundation', 'united arts']"
mdp.39015019665135,0,ic,2437206,,MIU,990024372060106381,14167765,"0918273234,9780918273239",,86020765,Lucha : a novella / by Constance Urdang.,"Coffee House Press, 1986.",bib,2012-09-06 19:31:11,0,1986,mnu,eng,BK,MIU,umich,umich,google,google,"Urdang, Constance.",https://catalog.hathitrust.org/Record/2437206,https://hdl.handle.net/2027/mdp.39015019665135,Coffee House Press,True,True,['national endowment for the arts']
mdp.39015021548972,0,ic,2448382,,MIU,990024483820106381,22909862,"0918273846,9780918273840",,90027025,Survival : stories / by Nancy Lord.,"Coffee House Press ; Consortium Book Sales and Distribution [distributor], 1991.",bib,2012-09-06 19:31:17,0,1991,mnu,eng,BK,MIU,umich,umich,google,google,"Lord, Nancy.",https://catalog.hathitrust.org/Record/2448382,https://hdl.handle.net/2027/mdp.39015021548972,Coffee House Press,True,True,"['bush foundation', 'target', 'honeywell foundation', 'jerome foundation', 'minnesota state arts board', 'northwest area foundation', 'pentair, inc.', 'national endowment for the arts']"
mdp.39015021549749,0,ic,2528771,,MIU,990025287710106381,24501168,"0918273889,9780918273888",,91035572,"Truth, war, and the dream-game : selected prose poems and parables, 1966-1990 / Lawrence Fixel.","Coffee House Press, 1991.",bib,2008-11-01 22:30:20,0,1991,mnu,eng,BK,MIU,umich,umich,google,google,"Fixel, Lawrence.",https://catalog.hathitrust.org/Record/2528771,https://hdl.handle.net/2027/mdp.39015021549749,Coffee House Press,True,True,[]
mdp.39015021846616,0,ic,2469524,,MIU,990024695240106381,22389367,"0918273110,0918273137,9780918273116,9780918273130",,90002696,Nice to see you : homage to Ted Berrigan / edited and with an introduction by Anne Waldman.,"Coffee House Press, 1991.",bib,2008-06-04 09:30:09,0,1991,mnu,eng,BK,MIU,umich,umich,google,google,,https://catalog.hathitrust.org/Record/2469524,https://hdl.handle.net/2027/mdp.39015021846616,Coffee House Press,True,True,"['target', 'target']"
mdp.39015021863355,0,ic,2474000,,MIU,990024740000106381,23356882,"0918273854,9780918273857",,91014096,Belligerence : new poems / by Andrei Codrescu.,"Coffee House Press, 1991.",bib,2012-03-21 09:30:52,0,1991,mnu,eng,BK,MIU,umich,umich,google,google,"Codrescu, Andrei, 1946-",https://catalog.hathitrust.org/Record/2474000,https://hdl.handle.net/2027/mdp.39015021863355,Coffee House Press,True,True,"['bush foundation', 'minnesota state arts board', 'national endowment for the arts', 'northwest area foundation', 'star tribune foundation']"
mdp.39015022025178,0,ic,2487263,,MIU,990024872630106381,13184229,"0918273218,9780918273215",,86002681,Comrade Past & Mister Present : new poems & a journal / Andrei Codrescu.,"Coffee House Press, c1986.",bib,2008-11-01 22:30:25,0,1986,mnu,eng,BK,MIU,umich,umich,google,google,"Codrescu, Andrei, 1946-",https://catalog.hathitrust.org/Record/2487263,https://hdl.handle.net/2027/mdp.39015022025178,Coffee House Press,True,True,"['the juniata diary', 'national endowment for the arts']"
mdp.39015022027505,0,ic,2488913,,MIU,990024889130106381,23286899,"0918273862,9780918273864",,91010107,Sudden dreams : new & selected poems / by George Evans.,"Coffee House Press, 1991.",bib,2012-09-06 19:31:18,0,1991,mnu,eng,BK,MIU,umich,umich,google,google,"Evans, George, 1948-",https://catalog.hathitrust.org/Record/2488913,https://hdl.handle.net/2027/mdp.39015022027505,Coffee House Press,True,True,"['bush foundation', 'target', 'jerome foundation', 'minnesota state arts board', 'national endowment for the arts', 'northwest area foundation']"
mdp.39015024806336,0,ic,2505344,,MIU,990025053440106381,22887735,"0918273838,9780918273833",,"90029994,90029994 /AC",Donald Duk : a novel / by Frank Chin.,"Coffee House Press ; Distributor, Consortium Book Sales and Distribution, 1991.",bib,2008-06-04 09:30:14,0,1991,mnu,eng,BK,MIU,umich,umich,google,google,"Chin, Frank, 1940-",https://catalog.hathitrust.org/Record/2505344,https://hdl.handle.net/2027/mdp.39015024806336,Coffee House Press,True,True,"['bush foundation', 'target', 'andrew w. mellon foundation', 'minnesota state arts board', 'northwest area foundation']"
mdp.39015024896741,0,ic,2511043,,MIU,990025110430106381,24068748,"0918273870,9780918273871",,91024085,The lion's share : a novel / by Rochelle Ratner.,"Coffee House Press ; Distributed to the trade by Consortium Book Sales & Distribution, 1991.",bib,2012-08-14 19:30:13,0,1991,mnu,eng,BK,MIU,umich,umich,google,google,"Ratner, Rochelle.",https://catalog.hathitrust.org/Record/2511043,https://hdl.handle.net/2027/mdp.39015024896741,Coffee House Press,True,True,"['the new york city art world and corporate support of the arts', 'bush foundation', 'target', 'jerome foundation', 'minnesota state arts board', 'national endowment for the arts', 'northwest area foundation']"
mdp.39015024943048,0,ic,2516368,,MIU,990025163680106381,24068210,"0918273919,9780918273918",,91025377,Red beans : poems / by Victor Hernández Cruz.,"Coffee House Press ; Consortium Book Sales and Distribution, distributors, 1991.",bib,2008-11-01 23:30:13,0,1991,mnu,eng,BK,MIU,umich,umich,google,google,"Cruz, Victor Hernández, 1949-",https://catalog.hathitrust.org/Record/2516368,https://hdl.handle.net/2027/mdp.39015024943048,Coffee House Press,True,True,"['bush foundation', 'target', 'honeywell foundation', 'minnesota state arts board', 'national endowment for the arts', 'northwest area foundation', 'star tribune foundation', 'james r. thorpe foundation']"
mdp.39015024956230,0,ic,2516324,,MIU,990025163240106381,23975697,"0918273900,9780918273901",,91022836,"Four incarnations : new & selected poems, 1957-1991 / Robert Sward.","Coffee House Press ; Available to bookstores through Consortium Book Sales and Distribution, 1991.",bib,2012-04-19 19:30:39,0,1991,mnu,eng,BK,MIU,umich,umich,google,google,"Sward, Robert, 1933-",https://catalog.hathitrust.org/Record/2516324,https://hdl.handle.net/2027/mdp.39015024956230,Coffee House Press,True,True,[]
mdp.39015024959259,0,ic,2518216,,MIU,990025182160106381,21149378,"0918273757,9780918273758",,"90030312,90030312 /AC",Dancers & the dance : stories / by Summer Brenner.,"Coffee House Press ; Distributed to trade by Consortium Book Sales and Distribution, 1990, c1989.",bib,2012-03-13 19:30:13,0,1990,mnu,eng,BK,MIU,umich,umich,google,google,"Brenner, Summer.",https://catalog.hathitrust.org/Record/2518216,https://hdl.handle.net/2027/mdp.39015024959259,Coffee House Press,True,True,"[None, 'national endowment for the arts', 'star tribune foundation', 'target', 'minnesota state arts board', 'northwest area foundation', 'united arts']"
mdp.39015025212344,0,ic,2554666,,MIU,990025546660106381,25246674,"0918273978,9780918273970",,92003598,Friends in the world : the education of a writer : a memoir / by Aram Saroyan.,"Coffee House Press, 1992.",bib,2012-03-12 19:30:33,0,1992,mnu,eng,BK,MIU,umich,umich,google,google,"Saroyan, Aram.",https://catalog.hathitrust.org/Record/2554666,https://hdl.handle.net/2027/mdp.39015025212344,Coffee House Press,True,True,"['bush foundation', 'minnesota state arts board', 'northwest area foundation', 'star tribune foundation', 'the mary mccarthy literary trust for use of a brief quote in the foreword. coffee house press books are available to bookstores through our primary distributor, consortium book sales & distribution']"
mdp.39015028896135,0,ic,2726459,,MIU,990027264590106381,27813018,"1566890098,9781566890090",,93015299,Unfinished building : poems / by Toby Olson.,"Coffee House Press, 1993.",bib,2012-04-19 19:30:43,0,1993,mnu,eng,BK,MIU,umich,umich,google,google,"Olson, Toby.",https://catalog.hathitrust.org/Record/2726459,https://hdl.handle.net/2027/mdp.39015028896135,Coffee House Press,True,True,[]
mdp.39015029209668,0,ic,2605904,,MIU,990026059040106381,25163721,"0918273986,9780918273987",,"92002573,92002573 //r92",Elvis Presley calls his mother after the Ed Sullivan show : a novel / by Samuel Charters.,"Coffee House Press, 1992.",bib,2008-11-01 22:30:24,0,1992,mnu,eng,BK,MIU,umich,umich,google,google,"Charters, Samuel, 1929-2015.",https://catalog.hathitrust.org/Record/2605904,https://hdl.handle.net/2027/mdp.39015029209668,Coffee House Press,True,True,"['star tribune foundation', 'minnesota state arts board', 'northwest area foundation']"
mdp.39015029252874,0,ic,2612110,,MIU,990026121100106381,25964827,"1566890004,9781566890007",,92017857,Brazil-Maru : a novel / by Karen Tei Yamashita.,"Coffee House Press, 1992.",bib,2012-04-19 19:30:44,0,1992,mnu,eng,BK,MIU,umich,umich,google,google,"Yamashita, Karen Tei, 1951-",https://catalog.hathitrust.org/Record/2612110,https://hdl.handle.net/2027/mdp.39015029252874,Coffee House Press,True,True,"['jerome foundation', 'minnesota state arts board', 'national endowment for the arts', 'northwest area foundation']"
mdp.39015029538165,0,ic,2635589,,MIU,990026355890106381,26129087,"1566890020,9781566890021",,92022804,The song of Percival Peacock : a novel / by Russell Edson.,"Coffee House Press, 1992.",bib,2012-04-19 19:30:44,0,1992,mnu,eng,BK,MIU,umich,umich,google,google,"Edson, Russell.",https://catalog.hathitrust.org/Record/2635589,https://hdl.handle.net/2027/mdp.39015029538165,Coffee House Press,True,True,"[None, 'bush foundation', 'target', 'minnesota state arts board', 'national endowment for the arts', 'northwest area foundation']"
mdp.39015029851543,0,ic,2710188,,MIU,990027101880106381,25200652,"0918273951,9780918273956",,92000817,The price of eggs : stories / by Anne Panning.,"Coffee House Press, 1992.",bib,2012-03-12 19:30:39,0,1992,mnu,eng,BK,MIU,umich,umich,google,google,"Panning, Anne, 1966-",https://catalog.hathitrust.org/Record/2710188,https://hdl.handle.net/2027/mdp.39015029851543,Coffee House Press,True,True,"['thanks jerome foundation', 'minnesota state arts board', 'national endowment for the arts', 'northwest area foundation']"
mdp.39015029933382,0,ic,2710766,,MIU,990027107660106381,27896660,"156689008X,9781566890083",,93017101,"Hotel Lambosa, and other stories / Kenneth Koch.","Coffee House Press, 1993.",bib,2012-09-08 19:30:37,0,1993,mnu,eng,BK,MIU,umich,umich,google,google,"Koch, Kenneth, 1925-2002.",https://catalog.hathitrust.org/Record/2710766,https://hdl.handle.net/2027/mdp.39015029933382,Coffee House Press,True,True,"['bush foundation', 'minnesota state arts board', 'andrew w. mellon foundation', ""lila wallace reader's digest fund""]"
mdp.39015029935684,0,ic,2710189,,MIU,990027101890106381,25202714,"0918273714,9780918273710",,92003245,To and for : new and selected poems / Steve Levine.,"Coffee House Press, 1992.",bib,2008-11-01 23:30:07,0,1992,mnu,eng,BK,MIU,umich,umich,google,google,"Levine, Steve, 1953-",https://catalog.hathitrust.org/Record/2710189,https://hdl.handle.net/2027/mdp.39015029935684,Coffee House Press,True,True,"[None, 'jerome foundation', 'minnesota state arts board', 'national endowment for the arts', 'northwest area foundation']"
mdp.39015029935874,0,ic,2710185,,MIU,990027101850106381,25164460,"091827396X,9780918273963",,"92004005,92004005 //r92",How to leave a country : a novel / by Cris Mazza.,"Coffee House Press, 1992.",bib,2008-11-01 23:30:07,0,1992,mnu,eng,BK,MIU,umich,umich,google,google,"Mazza, Cris.",https://catalog.hathitrust.org/Record/2710185,https://hdl.handle.net/2027/mdp.39015029935874,Coffee House Press,True,True,"['thanks jerome foundation', 'minnesota state arts board', 'national endowment for the arts', 'northwest area foundation']"
mdp.39015029935999,0,ic,2710164,,MIU,990027101640106381,24870607,"0918273935,9780918273932",,91039498,"Collisions and transformations : new and selected poems, 1975-1991 / Leslie Simon.","Coffee House Press, 1992.",bib,2012-04-19 19:30:46,0,1992,mnu,eng,BK,MIU,umich,umich,google,google,"Simon, Leslie, 1947-",https://catalog.hathitrust.org/Record/2710164,https://hdl.handle.net/2027/mdp.39015029935999,Coffee House Press,True,True,"['jerome foundation', 'minnesota state arts board', 'national endowment for the arts', 'northwest area foundation']"
mdp.39015031801510,0,ic,2891658,,MIU,990028916580106381,29319639,"1566890195,9781566890199",,93023689,Exposed / Cris Mazza.,"Coffee House Press ; Distributed by Consortium Book Sales & Distribution, 1994.",bib,2012-03-18 19:30:14,0,1994,mnu,eng,BK,MIU,umich,umich,google,google,"Mazza, Cris.",https://catalog.hathitrust.org/Record/2891658,https://hdl.handle.net/2027/mdp.39015031801510,Coffee House Press,True,True,"['cris mazza, fiction collective two', 'national endowment for the arts', 'target', 'target', 'lannan foundation', 'andrew w. mellon foundation', 'star tribune foundation', 'mcknight foundation', 'minnesota state arts board', 'minnesota state legislature', ""lila wallace reader's digest fund""]"
mdp.39015031809968,0,ic,2893487,,MIU,990028934870106381,29319656,"1566890209,9781566890205",,93023691,One thing that can save us / Barry Silesky.,"Coffee House Press, c1994.",bib,2012-06-18 19:30:16,0,1994,mnu,eng,BK,MIU,umich,umich,google,google,"Silesky, Barry, 1949-",https://catalog.hathitrust.org/Record/2893487,https://hdl.handle.net/2027/mdp.39015031809968,Coffee House Press,True,True,"['the syndicated fiction project.', 'target', 'target', 'national endowment for the arts', 'lannan foundation', 'andrew w. mellon foundation', 'star tribune foundation', 'mcknight foundation', 'minnesota state arts board']"
mdp.39015031821831,0,ic,2876705,,MIU,990028767050106381,29319633,"1566890179,9781566890175",,93023686,Losing Absalom : a novel / by Alexs D. Pate.,"Coffee House Press, 1994.",bib,2012-06-18 19:30:16,0,1994,mnu,eng,BK,MIU,umich,umich,google,google,"Pate, Alexs D., 1950-",https://catalog.hathitrust.org/Record/2876705,https://hdl.handle.net/2027/mdp.39015031821831,Coffee House Press,True,True,"['the minnesota center for book arts', 'star tribune foundation', 'mcknight foundation', 'target', 'lannan foundation', 'andrew w. mellon foundation', 'minnesota state arts board', 'minnesota state legislature', ""lila wallace reader's digest fund""]"
